date,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency,naik/turun
2022-06-14T00:00:00,4080,4050,4050,4120,4020,4110,30,117325600,4.79E+11,14705,2159.9,4120,2209400,4110,5897700,99062216600,99062216600,47401270643,77950300,49399000,,9999634,40777982287,16,Naik
2022-06-15T00:00:00,4110,4060,4070,4080,4030,4060,-50,94848800,3.85E+11,11561,2133.6,4070,150100,4060,1200,99062216600,99062216600,47401270643,74737200,30506400,,6637503,27085337372,13,Turun
2022-06-16T00:00:00,4060,4120,4110,4120,4030,4040,-20,96042200,3.90E+11,12533,2123.1,4040,222700,4030,406200,99062216600,99062216600,47401270643,57693000,52261600,,2196870,8923725000,5,Turun
2022-06-17T00:00:00,4040,4010,4020,4120,3980,4120,80,169375800,6.89E+11,15183,2165.2,4120,2699700,4080,4000,99062216600,99062216600,47401270643,130324400,109822300,,132,537180,3,Naik
2022-06-20T00:00:00,4120,4050,4050,4060,4000,4040,-80,82101200,3.30E+11,10956,2123.1,4040,1950700,4030,62300,99062216600,99062216600,47401270643,67243800,22478200,,8744935,35175040200,36,Turun
2022-06-21T00:00:00,4040,4060,4050,4120,4030,4110,70,77489000,3.17E+11,12016,2159.9,4110,619900,4100,26400,99062216600,99062216600,47401270643,30999900,44604200,,3604457,14754026730,25,Naik
2022-06-22T00:00:00,4110,4090,4080,4090,4040,4050,-60,60907800,2.47E+11,9715,2128.4,4050,226100,4040,1414400,99062216600,99062216600,47401270643,41460900,39149900,,219334,891377498,21,Turun
2022-06-23T00:00:00,4050,4030,4040,4160,4030,4160,110,101065400,4.16E+11,14447,2186.2,4160,1209300,4150,9100,99062216600,99062216600,47401270643,64085100,50608200,,454,1845424,18,Naik
2022-06-24T00:00:00,4160,4230,4220,4230,4100,4150,-10,81050700,3.37E+11,13847,2180.9,4150,1736100,4140,2800,99062216600,99062216600,47401270643,41808000,48496500,,1963157,8117718150,22,Turun
2022-06-27T00:00:00,4150,4110,4110,4120,4040,4070,-80,71601400,2.91E+11,12829,2138.9,4070,2694300,4060,278200,99062216600,99062216600,47401270643,61511800,30094600,,1714356,7017292070,8,Turun
